"Position","Date","Home","Result","Away","Sanity check","Home-missing","Away-missing"
118,"2021-07-01, 19:00","Dainava","1 : 2","Panevėžys","2021-07-01, 19:00	 	Dainava
	1 : 2	
Panevėžys	Alytaus m. stadionas","Dainava","Panevėžys"
119,,,,,"3 turas",,
120,"2021-06-27, 17:00","Banga","1 : 0","Džiugas","2021-06-27, 17:00	 	Banga
	1 : 0	
Džiugas	Gargždų m. stadionas","Banga","Džiugas"
121,"2021-06-27, 15:00","Žalgiris","2 : 0","Nevėžis","2021-06-27, 15:00	 	Žalgiris
	2 : 0	
Nevėžis	LFF stadionas","Žalgiris","Nevėžis"
122,"2021-06-26, 17:00","K. Žalgiris","1 : 2","Panevėžys","2021-06-26, 17:00	 	K. Žalgiris
	1 : 2	
Panevėžys	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","K. Žalgiris"
123,"2021-06-26, 15:00","Dainava","1 : 2","Hegelmann","2021-06-26, 15:00	 	Dainava
	1 : 2	
Hegelmann	Alytaus m. stadionas","Dainava","Hegelmann"
124,"2021-06-25, 18:00","Riteriai","1 : 1","Sūduva","2021-06-25, 18:00	 	Riteriai
	1 : 1	
Sūduva	LFF stadionas","Riteriai","Sūduva"
125,,,,,"9 turas",,
126,"2021-06-20, 19:00","K. Žalgiris","2 : 2","Hegelmann","2021-06-20, 19:00	 	K. Žalgiris
	2 : 2	
Hegelmann	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","K. Žalgiris"
127,,,,,"18 turas",,
128,"2021-06-20, 17:00","Panevėžys","1 : 1","Riteriai","2021-06-20, 17:00	 	Panevėžys
	1 : 1	
Riteriai	„Aukštaitijos“ stadionas","Panevėžys","Riteriai"
129,"2021-06-19, 19:00","Dainava","1 : 1","Sūduva","2021-06-19, 19:00	 	Dainava
	1 : 1	
Sūduva	Alytaus m. stadionas","Dainava","Sūduva"
130,"2021-06-18, 20:00","Nevėžis","0 : 2","Banga","2021-06-18, 20:00	 	Nevėžis
	0 : 2	
Banga	Kėdainių centrinis stadionas","Nevėžis","Banga"
131,"2021-06-18, 18:00","Žalgiris","0 : 3","Džiugas","2021-06-18, 18:00	 	Džiugas
	0 : 3	
Žalgiris	Telšių m. centrinis stadionas","Džiugas","Žalgiris"
132,,,,,"2 turas",,
133,"2021-06-15, 18:00","Riteriai","3 : 0","Banga","2021-06-15, 18:00	 	Riteriai
	3 : 0	
Banga	LFF stadionas","Riteriai","Banga"
134,,,,,"17 turas",,
135,"2021-06-12, 19:00","Riteriai","1 : 1","Džiugas","2021-06-12, 19:00	 	Riteriai
	1 : 1	
Džiugas	LFF stadionas","Riteriai","Džiugas"
136,"2021-06-12, 17:00","Nevėžis","0 : 1","Panevėžys","2021-06-12, 17:00	 	Nevėžis
	0 : 1	
Panevėžys	Kėdainių centrinis stadionas","Nevėžis","Panevėžys"
137,"2021-06-12, 15:00","K. Žalgiris","1 : 0","Dainava","2021-06-12, 15:00	 	K. Žalgiris
	1 : 0	
Dainava	„Kauno Žalgirio“ FA stadionas","Dainava","K. Žalgiris"
138,"2021-06-11, 20:00","Banga","0 : 2","Hegelmann","2021-06-11, 20:00	 	Banga
	0 : 2	
Hegelmann	Gargždų m. stadionas","Banga","Hegelmann"
139,"2021-06-11, 18:00","Žalgiris","0 : 2","Žalgiris","2021-06-11, 18:00	 	Sūduva
	0 : 2	
Žalgiris	Marijampolės futbolo arenos stadionas","Sūduva","Žalgiris"
140,,,,,"16 turas",,
141,"2021-05-29, 15:30","Dainava","3 : 1","Banga","2021-05-29, 15:30	 	Dainava
	3 : 1	
Banga	Alytaus m. stadionas","Dainava","Banga"
142,"2021-05-28, 19:00","Hegelmann","0 : 0","Panevėžys","2021-05-28, 19:00	 	Hegelmann
	0 : 0	
Panevėžys	LFF Kauno treniruočių centro st.","Hegelmann","Panevėžys"
143,"2021-05-28, 18:00","Žalgiris","2 : 2","K. Žalgiris","2021-05-28, 18:00	 	Žalgiris
	2 : 2	
K. Žalgiris	LFF stadionas","Žalgiris","K. Žalgiris"
144,"2021-05-27, 20:00","Nevėžis","0 : 0","Riteriai","2021-05-27, 20:00	 	Nevėžis
	0 : 0	
Riteriai	Kėdainių centrinis stadionas","Nevėžis","Riteriai"
145,"2021-05-27, 18:00","Džiugas","2 : 1","Džiugas","2021-05-27, 18:00	 	Džiugas
	2 : 1	
Sūduva	Telšių m. centrinis stadionas","Džiugas","Sūduva"
146,,,,,"15 turas",,
147,"2021-05-20, 20:00","Žalgiris","1 : 3","Žalgiris","2021-05-20, 20:00	 	Banga
	1 : 3	
Žalgiris	Gargždų m. stadionas","Banga","Žalgiris"
148,"2021-05-20, 18:00","K. Žalgiris","1 : 0","Sūduva","2021-05-20, 18:00	 	K. Žalgiris
	1 : 0	
Sūduva	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","K. Žalgiris"
149,"2021-05-19, 20:00","Panevėžys","3 : 0","Dainava","2021-05-19, 20:00	 	Panevėžys
	3 : 0	
Dainava	„Aukštaitijos“ stadionas","Dainava","Dainava"
150,"2021-05-19, 19:00","Nevėžis","2 : 1","Džiugas","2021-05-19, 19:00	 	Nevėžis
	2 : 1	
Džiugas	Kėdainių centrinis stadionas","Nevėžis","Džiugas"
151,"2021-05-19, 18:00","Riteriai","1 : 3","Hegelmann","2021-05-19, 18:00	 	Riteriai
	1 : 3	
Hegelmann	LFF stadionas","Riteriai","Hegelmann"
152,,,,,"14 turas",,
153,"2021-05-16, 15:00","Sūduva","4 : 0","Banga","2021-05-16, 15:00	 	Sūduva
	4 : 0	
Banga	Marijampolės futbolo arenos stadionas","Sūduva","Banga"
154,"2021-05-15, 13:00","K. Žalgiris","1 : 0","Džiugas","2021-05-15, 13:00	 	K. Žalgiris
	1 : 0	
Džiugas	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","K. Žalgiris"
155,"2021-05-14, 20:00","Dainava","1 : 1","Riteriai","2021-05-14, 20:00	 	Dainava
	1 : 1	
Riteriai	Alytaus m. stadionas","Dainava","Riteriai"
156,"2021-05-14, 19:00","Nevėžis","0 : 1","Hegelmann","2021-05-14, 19:00	 	Nevėžis
	0 : 1	
Hegelmann	Kėdainių centrinis stadionas","Nevėžis","Hegelmann"
157,"2021-05-14, 18:00","Žalgiris","1 : 0","Panevėžys","2021-05-14, 18:00	 	Žalgiris
	1 : 0	
Panevėžys	LFF stadionas","Žalgiris","Panevėžys"
158,,,,,"5 turas",,
159,"2021-05-11, 18:00","Žalgiris","0 : 2","Žalgiris","2021-05-11, 18:00	 	Panevėžys
	0 : 2	
Žalgiris	„Aukštaitijos“ stadionas","Panevėžys","Žalgiris"
160,,,,,"13 turas",,
161,"2021-05-09, 19:00","Nevėžis","0 : 2","Sūduva","2021-05-09, 19:00	 	Nevėžis
	0 : 2	
Sūduva	Kėdainių centrinis stadionas","Nevėžis","Sūduva"
162,"2021-05-09, 13:00","Riteriai","1 : 2","K. Žalgiris","2021-05-09, 13:00	 	Riteriai
	1 : 2	
K. Žalgiris	LFF stadionas","Riteriai","K. Žalgiris"
163,"2021-05-08, 15:00","Džiugas","2 : 3","Džiugas","2021-05-08, 15:00	 	Džiugas
	2 : 3	
Dainava	„Ateities“ progimnazijos stadionas","Dainava","Dainava"
164,"2021-05-08, 13:00","Žalgiris","2 : 1","Žalgiris","2021-05-08, 13:00	 	Hegelmann
	2 : 1	
Žalgiris	LFF Kauno treniruočių centro st.","Hegelmann","Žalgiris"
165,"2021-05-07, 18:00","Banga","2 : 2","Panevėžys","2021-05-07, 18:00	 	Banga
	2 : 2	
Panevėžys	Gargždų m. stadionas","Banga","Panevėžys"
166,,,,,"12 turas",,
167,"2021-05-05, 18:00","Sūduva","2 : 0","Riteriai","2021-05-05, 18:00	 	Sūduva
	2 : 0	
Riteriai	Marijampolės futbolo arenos maniežas","Sūduva","Riteriai"
168,"2021-05-04, 20:00","Žalgiris","0 : 3","Žalgiris","2021-05-04, 20:00	 	Nevėžis
	0 : 3	
Žalgiris	Kėdainių centrinis stadionas","Nevėžis","Žalgiris"
169,"2021-05-04, 18:00","Hegelmann","0 : 1","Dainava","2021-05-04, 18:00	 	Hegelmann
	0 : 1	
Dainava	LFF Kauno treniruočių centro st.","Dainava","Dainava"
170,"2021-05-03, 18:00","Panevėžys","2 : 1","K. Žalgiris","2021-05-03, 18:00	 	Panevėžys
	2 : 1	
K. Žalgiris	„Žemynos“ progimnazijos stadionas","Panevėžys","K. Žalgiris"
171,"2021-05-03, 17:00","Džiugas","1 : 1","Džiugas","2021-05-03, 17:00	 	Džiugas
	1 : 1	
Banga	„Ateities“ progimnazijos stadionas","Džiugas","Banga"
172,,,,,"11 turas",,
173,"2021-04-30, 18:00","Žalgiris","5 : 1","Dainava","2021-04-30, 18:00	 	Žalgiris
	5 : 1	
Dainava	LFF stadionas","Dainava","Dainava"
174,,,,,"2 turas",,
175,"2021-04-30, 17:00","Hegelmann","0 : 1","Sūduva","2021-04-30, 17:00	 	Hegelmann
	0 : 1	
Sūduva	LFF Kauno treniruočių centro st.","Hegelmann","Sūduva"
176,,,,,"11 turas",,
177,"2021-04-29, 19:00","Banga","0 : 2","Riteriai","2021-04-29, 19:00	 	Banga
	0 : 2	
Riteriai	Gargždų m. stadionas","Banga","Riteriai"
178,"2021-04-29, 18:00","Nevėžis","1 : 2","K. Žalgiris","2021-04-29, 18:00	 	Nevėžis
	1 : 2	
K. Žalgiris	Kėdainių centrinis stadionas","Nevėžis","K. Žalgiris"
179,"2021-04-29, 17:00","Džiugas","0 : 2","Džiugas","2021-04-29, 17:00	 	Džiugas
	0 : 2	
Panevėžys	„Ateities“ progimnazijos stadionas","Džiugas","Panevėžys"
180,,,,,"10 turas",,
181,"2021-04-25, 15:00","Panevėžys","0 : 0","Sūduva","2021-04-25, 15:00	 	Panevėžys
	0 : 0	
Sūduva	„Žemynos“ progimnazijos stadionas","Panevėžys","Sūduva"
182,"2021-04-25, 13:00","Banga","1 : 5","K. Žalgiris","2021-04-25, 13:00	 	Banga
	1 : 5	
K. Žalgiris	Gargždų m. stadionas","Banga","K. Žalgiris"
183,"2021-04-24, 19:00","Nevėžis","0 : 1","Dainava","2021-04-24, 19:00	 	Nevėžis
	0 : 1	
Dainava	Kėdainių centrinis stadionas","Dainava","Dainava"
184,"2021-04-24, 17:00","Hegelmann","1 : 1","Džiugas","2021-04-24, 17:00	 	Hegelmann
	1 : 1	
Džiugas	LFF Kauno treniruočių centro st.","Hegelmann","Džiugas"
185,"2021-04-23, 18:00","Žalgiris","1 : 1","Žalgiris","2021-04-23, 18:00	 	Riteriai
	1 : 1	
Žalgiris	LFF stadionas","Riteriai","Žalgiris"
186,,,,,"9 turas",,
187,"2021-04-21, 20:00","Banga","5 : 2","Nevėžis","2021-04-21, 20:00	 	Banga
	5 : 2	
Nevėžis	Gargždų m. stadionas","Banga","Nevėžis"
188,,,,,"18 turas",,
189,"2021-04-21, 18:00","Hegelmann","2 : 3","K. Žalgiris","2021-04-21, 18:00	 	Hegelmann
	2 : 3	
K. Žalgiris	LFF Kauno treniruočių centro st.","Hegelmann","K. Žalgiris"
190,,,,,"9 turas",,
191,"2021-04-20, 21:00","Riteriai","2 : 0","Panevėžys","2021-04-20, 21:00	 	Riteriai
	2 : 0	
Panevėžys	LFF stadionas","Riteriai","Panevėžys"
192,"2021-04-20, 19:00","Sūduva","3 : 1","Dainava","2021-04-20, 19:00	 	Sūduva
	3 : 1	
Dainava	Marijampolės futbolo arenos maniežas","Dainava","Dainava"
193,"2021-04-20, 17:00","Žalgiris","2 : 2","Džiugas","2021-04-20, 17:00	 	Žalgiris
	2 : 2	
Džiugas	LFF stadionas","Žalgiris","Džiugas"
194,,,,,"8 turas",,
195,"2021-04-17, 15:00","Hegelmann","0 : 1","Banga","2021-04-17, 15:00	 	Hegelmann
	0 : 1	
Banga	LFF Kauno treniruočių centro st.","Hegelmann","Banga"
196,"2021-04-17, 13:00","Panevėžys","4 : 2","Nevėžis","2021-04-17, 13:00	 	Panevėžys
	4 : 2	
Nevėžis	„Žemynos“ progimnazijos stadionas","Panevėžys","Nevėžis"
197,"2021-04-16, 20:00","Dainava","0 : 1","K. Žalgiris","2021-04-16, 20:00	 	Dainava
	0 : 1	
K. Žalgiris	Marijampolės futbolo arenos maniežas","Dainava","K. Žalgiris"
198,"2021-04-16, 18:00","Žalgiris","1 : 2","Sūduva","2021-04-16, 18:00	 	Žalgiris
	1 : 2	
Sūduva	LFF stadionas","Žalgiris","Sūduva"
199,"2021-04-16, 17:00","Džiugas","1 : 4","Džiugas","2021-04-16, 17:00	 	Džiugas
	1 : 4	
Riteriai	„Ateities“ progimnazijos stadionas","Džiugas","Riteriai"
200,,,,,"7 turas",,
201,"2021-04-13, 19:00","Banga","2 : 0","Dainava","2021-04-13, 19:00	 	Banga
	2 : 0	
Dainava	Gargždų m. stadionas","Dainava","Dainava"
202,"2021-04-13, 17:00","Panevėžys","2 : 2","Hegelmann","2021-04-13, 17:00	 	Panevėžys
	2 : 2	
Hegelmann	„Žemynos“ progimnazijos stadionas","Panevėžys","Hegelmann"
203,"2021-04-12, 20:00","Riteriai","4 : 0","Nevėžis","2021-04-12, 20:00	 	Riteriai
	4 : 0	
Nevėžis	LFF stadionas","Riteriai","Nevėžis"
204,"2021-04-12, 18:00","Sūduva","2 : 1","Džiugas","2021-04-12, 18:00	 	Sūduva
	2 : 1	
Džiugas	Marijampolės futbolo arenos maniežas","Sūduva","Džiugas"
205,"2021-04-11, 15:00","Žalgiris","0 : 1","Žalgiris","2021-04-11, 15:00	 	K. Žalgiris
	0 : 1	
Žalgiris	Marijampolės futbolo arenos maniežas","K. Žalgiris","K. Žalgiris"
206,,,,,"6 turas",,
207,"2021-04-09, 18:00","Dainava","1 : 3","Panevėžys","2021-04-09, 18:00	 	Dainava
	1 : 3	
Panevėžys	Marijampolės futbolo arenos maniežas","Dainava","Panevėžys"
208,"2021-04-08, 18:00","Hegelmann","2 : 0","Riteriai","2021-04-08, 18:00	 	Hegelmann
	2 : 0	
Riteriai	LFF Kauno treniruočių centro st.","Hegelmann","Riteriai"
209,"2021-04-08, 17:00","Džiugas","3 : 0","Džiugas","2021-04-08, 17:00	 	Džiugas
	3 : 0	
Nevėžis	„Ateities“ progimnazijos stadionas","Džiugas","Nevėžis"
210,"2021-04-07, 20:00","Žalgiris","2 : 0","Banga","2021-04-07, 20:00	 	Žalgiris
	2 : 0	
Banga	LFF stadionas","Žalgiris","Banga"
211,"2021-04-07, 18:00","Sūduva","2 : 1","K. Žalgiris","2021-04-07, 18:00	 	Sūduva
	2 : 1	
K. Žalgiris	Marijampolės futbolo arenos maniežas","Sūduva","K. Žalgiris"
212,,,,,"5 turas",,
213,"2021-04-03, 16:00","Džiugas","1 : 1","Džiugas","2021-04-03, 16:00	 	Džiugas
	1 : 1	
K. Žalgiris	„Ateities“ progimnazijos stadionas","Džiugas","K. Žalgiris"
214,"2021-04-02, 20:00","Banga","1 : 2","Sūduva","2021-04-02, 20:00	 	Banga
	1 : 2	
Sūduva	Gargždų m. stadionas","Banga","Sūduva"
215,"2021-04-02, 18:00","Riteriai","2 : 2","Dainava","2021-04-02, 18:00	 	Riteriai
	2 : 2	
Dainava	LFF stadionas","Dainava","Dainava"
216,"2021-04-02, 17:00","Hegelmann","2 : 0","Nevėžis","2021-04-02, 17:00	 	Hegelmann
	2 : 0	
Nevėžis	LFF Kauno treniruočių centro st.","Hegelmann","Nevėžis"
217,,,,,"4 turas",,
218,"2021-03-21, 15:00","Dainava","1 : 1","Džiugas","2021-03-21, 15:00	 	Dainava
	1 : 1	
Džiugas	Marijampolės futbolo arenos maniežas","Dainava","Džiugas"
219,"2021-03-20, 19:00","Žalgiris","2 : 0","Hegelmann","2021-03-20, 19:00	 	Žalgiris
	2 : 0	
Hegelmann	„Sportima“","Žalgiris","Hegelmann"
220,"2021-03-20, 15:00","Panevėžys","4 : 2","Banga","2021-03-20, 15:00	 	Panevėžys
	4 : 2	
Banga	„Žemynos“ progimnazijos stadionas","Panevėžys","Banga"
221,"2021-03-20, 13:00","K. Žalgiris","2 : 1","Riteriai","2021-03-20, 13:00	 	K. Žalgiris
	2 : 1	
Riteriai	Marijampolės futbolo arenos maniežas","K. Žalgiris","K. Žalgiris"
222,"2021-03-19, 18:00","Sūduva","1 : 0","Nevėžis","2021-03-19, 18:00	 	Sūduva
	1 : 0	
Nevėžis	Marijampolės futbolo arenos maniežas","Sūduva","Nevėžis"
223,,,,,"1 turas",,
224,"2021-03-16, 17:00","Žalgiris","2 : 0","Riteriai","2021-03-16, 17:00	 	Žalgiris
	2 : 0	
Riteriai	„Sportima“","Žalgiris","Riteriai"
225,,,,,"2 turas",,
226,"2021-03-14, 15:00","Panevėžys","1 : 0","Džiugas","2021-03-14, 15:00	 	Panevėžys
	1 : 0	
Džiugas	„Žemynos“ progimnazijos stadionas","Panevėžys","Džiugas"
227,"2021-03-14, 13:00","K. Žalgiris","5 : 0","Nevėžis","2021-03-14, 13:00	 	K. Žalgiris
	5 : 0	
Nevėžis	Marijampolės futbolo arenos maniežas","K. Žalgiris","K. Žalgiris"
228,"2021-03-13, 15:00","Žalgiris","2 : 2","Dainava","2021-03-13, 15:00	 	Žalgiris
	2 : 2	
Dainava	„Sportima“","Dainava","Dainava"
229,,,,,"11 turas",,
230,"2021-03-12, 18:00","Sūduva","2 : 0","Hegelmann","2021-03-12, 18:00	 	Sūduva
	2 : 0	
Hegelmann	Marijampolės futbolo arenos maniežas","Sūduva","Hegelmann"
231,,,,,"1 turas",,
232,"2021-03-07, 15:00","Sūduva","0 : 1","Panevėžys","2021-03-07, 15:00	 	Sūduva
	0 : 1	
Panevėžys	Marijampolės futbolo arenos maniežas","Sūduva","Panevėžys"
233,"2021-03-06, 15:00","Dainava","0 : 2","Nevėžis","2021-03-06, 15:00	 	Dainava
	0 : 2	
Nevėžis	Marijampolės futbolo arenos maniežas","Dainava","Nevėžis"
234,"2021-03-06, 13:00","Džiugas","2 : 1","Džiugas","2021-03-06, 13:00	 	Džiugas
	2 : 1	
Hegelmann	„Ateities“ progimnazijos stadionas","Džiugas","Hegelmann"
235,"2021-03-05, 18:00","K. Žalgiris","1 : 0","Banga","2021-03-05, 18:00	 	K. Žalgiris
	1 : 0	
Banga	Marijampolės futbolo arenos maniežas","K. Žalgiris","K. Žalgiris"
