"Position","Date","Home","Result","Away","Sanity check","Home-missing","Away-missing"
141,"2018-04-11, 18:00","Atlantas","2 : 5","Žalgiris","2018-04-11, 18:00	 	Atlantas
	2 : 5	
Žalgiris	Klaipėdos dirbtinės dangos st.","Atlantas","Žalgiris"
142,,,,,"6 turas",,
143,"2018-04-07, 13:00","Žalgiris","3 : 2","Riteriai","2018-04-07, 13:00	 	Žalgiris
	3 : 2	
Riteriai	LFF stadionas","Žalgiris","Riteriai"
144,"2018-04-05, 20:00","Atlantas","2 : 1","Atlantas","2018-04-05, 20:00	 	Sūduva
	2 : 1	
Atlantas	Marijampolės futbolo arenos maniežas","Sūduva","Atlantas"
145,"2018-04-05, 18:00","Palanga","1 : 0","K. Žalgiris","2018-04-05, 18:00	 	Palanga
	1 : 0	
K. Žalgiris	Klaipėdos dirbtinės dangos st.","Palanga","K. Žalgiris"
146,"2018-04-04, 18:00","Stumbras","4 : 0","Jonava","2018-04-04, 18:00	 	Stumbras
	4 : 0	
Jonava	LFF Kauno treniruočių centro st.","Stumbras","Jonava"
147,,,,,"5 turas",,
148,"2018-03-31, 13:00","K. Žalgiris","0 : 1","Stumbras","2018-03-31, 13:00	 	K. Žalgiris
	0 : 1	
Stumbras	LFF Kauno treniruočių centro st.","K. Žalgiris","K. Žalgiris"
149,"2018-03-31, 13:00","Riteriai","1 : 4","Riteriai","2018-03-31, 13:00	 	Riteriai
	1 : 4	
Sūduva	„Sportima“","Sūduva","Sūduva"
150,"2018-03-30, 19:30","Žalgiris","1 : 2","Jonava","2018-03-30, 19:30	 	Žalgiris
	1 : 2	
Jonava	„Sportima“","Žalgiris","Jonava"
151,"2018-03-30, 18:00","Atlantas","1 : 1","Palanga","2018-03-30, 18:00	 	Atlantas
	1 : 1	
Palanga	Klaipėdos dirbtinės dangos st.","Atlantas","Palanga"
152,,,,,"18 turas",,
153,"2018-03-18, 18:00","Riteriai","3 : 1","Riteriai","2018-03-18, 18:00	 	Riteriai
	3 : 1	
Palanga	„Sportima“","Riteriai","Palanga"
154,,,,,"4 turas",,
155,"2018-03-17, 13:00","Jonava","0 : 1","K. Žalgiris","2018-03-17, 13:00	 	Jonava
	0 : 1	
K. Žalgiris	Jonavos dirbtinės dangos st.","Jonava","K. Žalgiris"
156,"2018-03-14, 20:00","Sūduva","0 : 0","Žalgiris","2018-03-14, 20:00	 	Sūduva
	0 : 0	
Žalgiris	Marijampolės futbolo arenos maniežas","Sūduva","Žalgiris"
157,"2018-03-14, 18:00","Atlantas","0 : 2","Atlantas","2018-03-14, 18:00	 	Stumbras
	0 : 2	
Atlantas	LFF Kauno treniruočių centro st.","Stumbras","Atlantas"
158,"2018-03-13, 18:00","Palanga","1 : 1","Riteriai","2018-03-13, 18:00	 	Palanga
	1 : 1	
Riteriai	Klaipėdos dirbtinės dangos st.","Palanga","Riteriai"
159,,,,,"3 turas",,
160,"2018-03-08, 19:30","Žalgiris","4 : 0","Palanga","2018-03-08, 19:30	 	Žalgiris
	4 : 0	
Palanga	„Sportima“","Žalgiris","Palanga"
161,"2018-03-08, 18:00","Sūduva","4 : 2","Jonava","2018-03-08, 18:00	 	Sūduva
	4 : 2	
Jonava	Marijampolės futbolo arenos maniežas","Sūduva","Jonava"
162,"2018-03-07, 19:30","Riteriai","1 : 1","Riteriai","2018-03-07, 19:30	 	Riteriai
	1 : 1	
Stumbras	„Sportima“","Riteriai","Stumbras"
163,"2018-03-07, 18:00","Atlantas","0 : 1","K. Žalgiris","2018-03-07, 18:00	 	Atlantas
	0 : 1	
K. Žalgiris	Klaipėdos dirbtinės dangos st.","Atlantas","K. Žalgiris"
164,,,,,"2 turas",,
165,"2018-03-04, 17:00","Stumbras","0 : 0","Žalgiris","2018-03-04, 17:00	 	Stumbras
	0 : 0	
Žalgiris	Marijampolės futbolo arenos maniežas","Stumbras","Žalgiris"
166,"2018-03-04, 13:00","Atlantas","1 : 1","Atlantas","2018-03-04, 13:00	 	Jonava
	1 : 1	
Atlantas	Marijampolės futbolo arenos maniežas","Jonava","Atlantas"
167,"2018-03-03, 15:00","Sūduva","2 : 0","Palanga","2018-03-03, 15:00	 	Sūduva
	2 : 0	
Palanga	Marijampolės futbolo arenos maniežas","Sūduva","Palanga"
168,"2018-03-03, 13:00","K. Žalgiris","1 : 4","Riteriai","2018-03-03, 13:00	 	K. Žalgiris
	1 : 4	
Riteriai	LFF Kauno treniruočių centro st.","K. Žalgiris","K. Žalgiris"
169,,,,,"1 turas",,
170,"2018-02-25, 18:00","Žalgiris","2 : 0","K. Žalgiris","2018-02-25, 18:00	 	Žalgiris
	2 : 0	
K. Žalgiris	„Sportima“","Žalgiris","K. Žalgiris"
171,"2018-02-25, 13:00","Palanga","1 : 1","Jonava","2018-02-25, 13:00	 	Palanga
	1 : 1	
Jonava	Klaipėdos dirbtinės dangos st.","Palanga","Jonava"
172,"2018-02-24, 15:00","Atlantas","0 : 1","Riteriai","2018-02-24, 15:00	 	Riteriai
	0 : 1	
Atlantas	„Sportima“","Riteriai","Atlantas"
173,"2018-02-24, 13:00","Sūduva","2 : 0","Stumbras","2018-02-24, 13:00	 	Sūduva
	2 : 0	
Stumbras	Marijampolės futbolo arenos maniežas","Sūduva","Stumbras"
