"Position","Date","Home","Result","Away","Sanity check","Home-missing","Away-missing"
62,,,,,"5 turas",,
63,"2020-06-20, 19:00","Žalgiris","1 : 1","Sūduva","2020-06-20, 19:00	 	Sūduva
	1 : 1	
Žalgiris	Marijampolės futbolo arenos stadionas","Sūduva","Žalgiris"
64,"2020-06-20, 17:00","Banga","1 : 1","K. Žalgiris","2020-06-20, 17:00	 	Banga
	1 : 1	
K. Žalgiris	Gargždų m. stadionas","Banga","K. Žalgiris"
65,"2020-06-19, 19:00","Riteriai","1 : 1","Panevėžys","2020-06-19, 19:00	 	Riteriai
	1 : 1	
Panevėžys	LFF stadionas","Riteriai","Panevėžys"
66,,,,,"4 turas",,
67,"2020-06-14, 17:00","Riteriai","1 : 3","Sūduva","2020-06-14, 17:00	 	Riteriai
	1 : 3	
Sūduva	LFF stadionas","Riteriai","Sūduva"
68,"2020-06-13, 17:00","Žalgiris","0 : 1","Žalgiris","2020-06-13, 17:00	 	Banga
	0 : 1	
Žalgiris	Gargždų m. stadionas","Banga","Žalgiris"
69,"2020-06-13, 13:00","K. Žalgiris","2 : 0","Panevėžys","2020-06-13, 13:00	 	K. Žalgiris
	2 : 0	
Panevėžys	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","K. Žalgiris"
70,,,,,"3 turas",,
71,"2020-06-07, 17:00","Riteriai","0 : 1","Banga","2020-06-07, 17:00	 	Riteriai
	0 : 1	
Banga	LFF stadionas","Banga","Banga"
72,"2020-06-06, 17:00","Panevėžys","1 : 3","Sūduva","2020-06-06, 17:00	 	Panevėžys
	1 : 3	
Sūduva	„Aukštaitijos“ stadionas","Panevėžys","Sūduva"
73,"2020-06-06, 13:00","Žalgiris","0 : 1","Žalgiris","2020-06-06, 13:00	 	K. Žalgiris
	0 : 1	
Žalgiris	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","K. Žalgiris"
74,,,,,"2 turas",,
75,"2020-06-01, 18:00","Sūduva","1 : 0","Sūduva","2020-06-01, 18:00	 	Sūduva
	1 : 0	
K. Žalgiris	Marijampolės futbolo arenos stadionas","Sūduva","K. Žalgiris"
76,"2020-05-30, 17:00","Banga","2 : 0","Panevėžys","2020-05-30, 17:00	 	Banga
	2 : 0	
Panevėžys	Gargždų m. stadionas","Banga","Panevėžys"
77,"2020-05-30, 15:00","Žalgiris","0 : 1","Riteriai","2020-05-30, 15:00	 	Žalgiris
	0 : 1	
Riteriai	LFF stadionas","Žalgiris","Riteriai"
78,,,,,"1 turas",,
79,"2020-03-08, 18:00","Riteriai","0 : 3","K. Žalgiris","2020-03-08, 18:00	 	Riteriai
	0 : 3	
K. Žalgiris	„Sportima“","Riteriai","K. Žalgiris"
80,"2020-03-07, 17:00","Sūduva","1 : 0","Sūduva","2020-03-07, 17:00	 	Sūduva
	1 : 0	
Banga	Marijampolės futbolo arenos maniežas","Banga","Banga"
81,"2020-03-06, 19:30","Žalgiris","4 : 0","Panevėžys","2020-03-06, 19:30	 	Žalgiris
	4 : 0	
Panevėžys	„Sportima“","Žalgiris","Panevėžys"
