"Position","Date","Home","Result","Away","Sanity check","Home-missing","Away-missing"
42,"2019-10-02, 18:30","Sūduva","5 : 0","Palanga","2019-10-02, 18:30	 	Sūduva
	5 : 0	
Palanga	Marijampolės futbolo arenos stadionas","Sūduva","Palanga"
43,,,,,"25 turas",,
44,"2019-09-28, 18:00","Panevėžys","3 : 3","K. Žalgiris","2019-09-28, 18:00	 	Panevėžys
	3 : 3	
K. Žalgiris	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
45,"2019-09-25, 19:00","Atlantas","4 : 0","Atlantas","2019-09-25, 19:00	 	Žalgiris
	4 : 0	
Atlantas	LFF stadionas","Žalgiris","Atlantas"
46,"2019-09-25, 18:00","Stumbras","0 : 3","Sūduva","2019-09-25, 18:00	 	Stumbras
	0 : 3	
Sūduva	LFF Kauno treniruočių centro st.","Stumbras","Sūduva"
47,"2019-09-25, 17:00","Palanga","1 : 3","Riteriai","2019-09-25, 17:00	 	Palanga
	1 : 3	
Riteriai	Palangos m. stadionas","Palanga","Riteriai"
48,,,,,"19 turas",,
49,"2019-09-24, 18:00","Panevėžys","2 : 7","Sūduva","2019-09-24, 18:00	 	Panevėžys
	2 : 7	
Sūduva	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
50,,,,,"24 turas",,
51,"2019-09-21, 19:00","Atlantas","3 : 0","Stumbras","2019-09-21, 19:00	 	Atlantas
	3 : 0	
Stumbras	Klaipėdos m. centrinis stadionas","Atlantas","Stumbras"
52,"2019-09-21, 15:00","K. Žalgiris","0 : 2","K. Žalgiris","2019-09-21, 15:00	 	K. Žalgiris
	0 : 2	
Sūduva	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","Sūduva"
53,"2019-09-21, 13:00","Riteriai","1 : 1","Žalgiris","2019-09-21, 13:00	 	Riteriai
	1 : 1	
Žalgiris	LFF stadionas","Žalgiris","Žalgiris"
54,,,,,"23 turas",,
55,"2019-09-14, 17:00","Stumbras","0 : 3","Riteriai","2019-09-14, 17:00	 	Stumbras
	0 : 3	
Riteriai	LFF Kauno treniruočių centro st.","Stumbras","Riteriai"
56,"2019-09-14, 15:00","Palanga","2 : 3","K. Žalgiris","2019-09-14, 15:00	 	Palanga
	2 : 3	
K. Žalgiris	Palangos m. stadionas","Palanga","K. Žalgiris"
57,"2019-09-13, 19:00","Atlantas","0 : 4","Sūduva","2019-09-13, 19:00	 	Atlantas
	0 : 4	
Sūduva	Klaipėdos m. centrinis stadionas","Atlantas","Sūduva"
58,"2019-09-13, 19:00","Žalgiris","5 : 0","Panevėžys","2019-09-13, 19:00	 	Žalgiris
	5 : 0	
Panevėžys	LFF stadionas","Žalgiris","Panevėžys"
59,,,,,"22 turas",,
60,"2019-09-01, 18:00","Panevėžys","3 : 0","Stumbras","2019-09-01, 18:00	 	Panevėžys
	3 : 0	
Stumbras	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
61,"2019-08-31, 17:00","Atlantas","1 : 0","K. Žalgiris","2019-08-31, 17:00	 	K. Žalgiris
	1 : 0	
Atlantas	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","Atlantas"
62,"2019-08-31, 15:00","Palanga","0 : 4","Žalgiris","2019-08-31, 15:00	 	Palanga
	0 : 4	
Žalgiris	Palangos m. stadionas","Žalgiris","Žalgiris"
63,,,,,"21 turas",,
64,"2019-08-25, 18:00","Atlantas","0 : 2","Atlantas","2019-08-25, 18:00	 	Palanga
	0 : 2	
Atlantas	Palangos m. stadionas","Palanga","Atlantas"
65,"2019-08-24, 17:00","Stumbras","0 : 3","K. Žalgiris","2019-08-24, 17:00	 	Stumbras
	0 : 3	
K. Žalgiris	LFF Kauno treniruočių centro st.","Stumbras","K. Žalgiris"
66,"2019-08-23, 18:00","Panevėžys","4 : 2","Riteriai","2019-08-23, 18:00	 	Panevėžys
	4 : 2	
Riteriai	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
67,,,,,"20 turas",,
68,"2019-08-18, 17:00","Atlantas","0 : 2","Panevėžys","2019-08-18, 17:00	 	Atlantas
	0 : 2	
Panevėžys	Klaipėdos m. centrinis stadionas","Atlantas","Panevėžys"
69,"2019-08-18, 15:00","Stumbras","0 : 3","Žalgiris","2019-08-18, 15:00	 	Stumbras
	0 : 3	
Žalgiris	LFF Kauno treniruočių centro st.","Žalgiris","Žalgiris"
70,"2019-08-17, 19:00","K. Žalgiris","1 : 0","K. Žalgiris","2019-08-17, 19:00	 	K. Žalgiris
	1 : 0	
Riteriai	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","Riteriai"
71,,,,,"24 turas",,
72,"2019-08-12, 18:00","Panevėžys","3 : 1","Palanga","2019-08-12, 18:00	 	Panevėžys
	3 : 1	
Palanga	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
73,,,,,"19 turas",,
74,"2019-08-11, 19:00","Žalgiris","3 : 0","K. Žalgiris","2019-08-11, 19:00	 	Žalgiris
	3 : 0	
K. Žalgiris	LFF stadionas","Žalgiris","K. Žalgiris"
75,"2019-08-11, 15:00","Palanga","3 : 0","Stumbras","2019-08-11, 15:00	 	Palanga
	3 : 0	
Stumbras	Palangos m. stadionas","Palanga","Stumbras"
76,"2019-08-10, 19:00","Atlantas","1 : 1","Atlantas","2019-08-10, 19:00	 	Riteriai
	1 : 1	
Atlantas	LFF stadionas","Riteriai","Atlantas"
77,,,,,"18 turas",,
78,"2019-08-04, 19:00","Atlantas","1 : 3","Žalgiris","2019-08-04, 19:00	 	Atlantas
	1 : 3	
Žalgiris	Klaipėdos m. centrinis stadionas","Žalgiris","Žalgiris"
79,"2019-08-03, 19:00","Sūduva","3 : 0","Stumbras","2019-08-03, 19:00	 	Sūduva
	3 : 0	
Stumbras	Marijampolės futbolo arenos stadionas","Sūduva","Stumbras"
80,"2019-08-03, 17:00","Riteriai","1 : 0","Palanga","2019-08-03, 17:00	 	Riteriai
	1 : 0	
Palanga	LFF stadionas","Riteriai","Palanga"
81,"2019-08-03, 15:00","K. Žalgiris","2 : 2","K. Žalgiris","2019-08-03, 15:00	 	K. Žalgiris
	2 : 2	
Panevėžys	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","Panevėžys"
82,,,,,"17 turas",,
83,"2019-07-06, 17:00","Atlantas","0 : 3","Atlantas","2019-07-06, 17:00	 	Stumbras
	0 : 3	
Atlantas	LFF Kauno treniruočių centro st.","Stumbras","Atlantas"
84,"2019-07-05, 19:00","Žalgiris","2 : 1","Riteriai","2019-07-05, 19:00	 	Žalgiris
	2 : 1	
Riteriai	LFF stadionas","Žalgiris","Riteriai"
85,"2019-07-04, 18:00","Palanga","1 : 2","Panevėžys","2019-07-04, 18:00	 	Palanga
	1 : 2	
Panevėžys	Palangos m. stadionas","Palanga","Panevėžys"
86,"2019-07-03, 20:00","Sūduva","3 : 0","K. Žalgiris","2019-07-03, 20:00	 	Sūduva
	3 : 0	
K. Žalgiris	Marijampolės futbolo arenos stadionas","Sūduva","K. Žalgiris"
87,,,,,"16 turas",,
88,"2019-06-29, 20:00","Riteriai","3 : 0","Stumbras","2019-06-29, 20:00	 	Riteriai
	3 : 0	
Stumbras	LFF stadionas","Riteriai","Stumbras"
89,"2019-06-29, 19:00","Atlantas","4 : 1","Atlantas","2019-06-29, 19:00	 	Sūduva
	4 : 1	
Atlantas	Marijampolės futbolo arenos stadionas","Sūduva","Atlantas"
90,"2019-06-29, 18:00","K. Žalgiris","4 : 0","K. Žalgiris","2019-06-29, 18:00	 	K. Žalgiris
	4 : 0	
Palanga	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","Palanga"
91,"2019-06-29, 16:00","Panevėžys","0 : 2","Žalgiris","2019-06-29, 16:00	 	Panevėžys
	0 : 2	
Žalgiris	„Aukštaitijos“ stadionas","Žalgiris","Panevėžys"
92,,,,,"15 turas",,
93,"2019-06-23, 19:00","Žalgiris","3 : 2","Palanga","2019-06-23, 19:00	 	Žalgiris
	3 : 2	
Palanga	LFF stadionas","Žalgiris","Palanga"
94,"2019-06-22, 19:00","Sūduva","1 : 2","Riteriai","2019-06-22, 19:00	 	Sūduva
	1 : 2	
Riteriai	Marijampolės futbolo arenos stadionas","Sūduva","Riteriai"
95,"2019-06-22, 17:00","Stumbras","0 : 3","Panevėžys","2019-06-22, 17:00	 	Stumbras
	0 : 3	
Panevėžys	LFF Kauno treniruočių centro st.","Stumbras","Panevėžys"
96,"2019-06-22, 15:00","Atlantas","1 : 1","K. Žalgiris","2019-06-22, 15:00	 	Atlantas
	1 : 1	
K. Žalgiris	Klaipėdos m. centrinis stadionas","Atlantas","K. Žalgiris"
97,,,,,"14 turas",,
98,"2019-06-15, 19:00","Sūduva","2 : 1","Panevėžys","2019-06-15, 19:00	 	Sūduva
	2 : 1	
Panevėžys	Marijampolės futbolo arenos stadionas","Sūduva","Panevėžys"
99,"2019-06-15, 17:00","Stumbras","0 : 3","Palanga","2019-06-15, 17:00	 	Stumbras
	0 : 3	
Palanga	LFF Kauno treniruočių centro st.","Stumbras","Palanga"
100,"2019-06-14, 20:00","K. Žalgiris","3 : 4","K. Žalgiris","2019-06-14, 20:00	 	K. Žalgiris
	3 : 4	
Žalgiris	„Kauno Žalgirio“ FA stadionas","Žalgiris","Žalgiris"
101,"2019-06-14, 18:00","Atlantas","2 : 3","Riteriai","2019-06-14, 18:00	 	Atlantas
	2 : 3	
Riteriai	Klaipėdos m. centrinis stadionas","Atlantas","Riteriai"
102,,,,,"13 turas",,
103,"2019-06-02, 18:00","Atlantas","4 : 1","Atlantas","2019-06-02, 18:00	 	Panevėžys
	4 : 1	
Atlantas	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
104,"2019-06-01, 19:00","Riteriai","1 : 0","K. Žalgiris","2019-06-01, 19:00	 	Riteriai
	1 : 0	
K. Žalgiris	LFF stadionas","Riteriai","K. Žalgiris"
105,"2019-06-01, 17:00","Palanga","0 : 2","Sūduva","2019-06-01, 17:00	 	Palanga
	0 : 2	
Sūduva	Palangos m. stadionas","Palanga","Sūduva"
106,"2019-05-31, 19:00","Žalgiris","2 : 1","Stumbras","2019-05-31, 19:00	 	Žalgiris
	2 : 1	
Stumbras	LFF stadionas","Žalgiris","Stumbras"
107,,,,,"12 turas",,
108,"2019-05-22, 20:00","Sūduva","1 : 0","Žalgiris","2019-05-22, 20:00	 	Sūduva
	1 : 0	
Žalgiris	Marijampolės futbolo arenos stadionas","Žalgiris","Žalgiris"
109,"2019-05-22, 18:00","K. Žalgiris","4 : 3","K. Žalgiris","2019-05-22, 18:00	 	K. Žalgiris
	4 : 3	
Stumbras	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","Stumbras"
110,"2019-05-21, 20:00","Riteriai","1 : 1","Panevėžys","2019-05-21, 20:00	 	Riteriai
	1 : 1	
Panevėžys	LFF stadionas","Riteriai","Panevėžys"
111,"2019-05-21, 18:00","Atlantas","2 : 1","Palanga","2019-05-21, 18:00	 	Atlantas
	2 : 1	
Palanga	Klaipėdos m. centrinis stadionas","Atlantas","Palanga"
112,,,,,"11 turas",,
113,"2019-05-18, 19:00","Sūduva","2 : 0","Stumbras","2019-05-18, 19:00	 	Sūduva
	2 : 0	
Stumbras	Marijampolės futbolo arenos stadionas","Sūduva","Stumbras"
114,"2019-05-18, 18:00","Palanga","1 : 3","Riteriai","2019-05-18, 18:00	 	Palanga
	1 : 3	
Riteriai	Palangos m. stadionas","Palanga","Riteriai"
115,"2019-05-18, 17:00","Panevėžys","1 : 1","K. Žalgiris","2019-05-18, 17:00	 	Panevėžys
	1 : 1	
K. Žalgiris	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
116,"2019-05-17, 19:00","Atlantas","3 : 0","Atlantas","2019-05-17, 19:00	 	Žalgiris
	3 : 0	
Atlantas	LFF stadionas","Žalgiris","Atlantas"
117,,,,,"10 turas",,
118,"2019-05-12, 17:00","Panevėžys","2 : 1","Palanga","2019-05-12, 17:00	 	Panevėžys
	2 : 1	
Palanga	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
119,"2019-05-12, 14:00","Atlantas","0 : 0","Stumbras","2019-05-12, 14:00	 	Atlantas
	0 : 0	
Stumbras	Klaipėdos m. centrinis stadionas","Atlantas","Stumbras"
120,"2019-05-11, 15:00","K. Žalgiris","0 : 3","K. Žalgiris","2019-05-11, 15:00	 	K. Žalgiris
	0 : 3	
Sūduva	LFF Kauno treniruočių centro st.","K. Žalgiris","Sūduva"
121,"2019-05-11, 13:00","Riteriai","1 : 0","Žalgiris","2019-05-11, 13:00	 	Riteriai
	1 : 0	
Žalgiris	LFF stadionas","Žalgiris","Žalgiris"
122,,,,,"9 turas",,
123,"2019-05-05, 19:00","Žalgiris","2 : 1","Panevėžys","2019-05-05, 19:00	 	Žalgiris
	2 : 1	
Panevėžys	LFF stadionas","Žalgiris","Panevėžys"
124,"2019-05-05, 17:00","Atlantas","4 : 0","Atlantas","2019-05-05, 17:00	 	Sūduva
	4 : 0	
Atlantas	Marijampolės futbolo arenos stadionas","Sūduva","Atlantas"
125,"2019-05-05, 15:00","Palanga","0 : 3","K. Žalgiris","2019-05-05, 15:00	 	Palanga
	0 : 3	
K. Žalgiris	Klaipėdos dirbtinės dangos st.","Palanga","K. Žalgiris"
126,"2019-05-04, 17:00","Stumbras","0 : 3","Riteriai","2019-05-04, 17:00	 	Stumbras
	0 : 3	
Riteriai	LFF Kauno treniruočių centro st.","Stumbras","Riteriai"
127,,,,,"8 turas",,
128,"2019-04-27, 20:00","Riteriai","1 : 2","Sūduva","2019-04-27, 20:00	 	Riteriai
	1 : 2	
Sūduva	LFF stadionas","Riteriai","Sūduva"
129,"2019-04-27, 17:00","Atlantas","2 : 1","K. Žalgiris","2019-04-27, 17:00	 	K. Žalgiris
	2 : 1	
Atlantas	LFF Kauno treniruočių centro st.","K. Žalgiris","Atlantas"
130,"2019-04-27, 15:00","Palanga","1 : 4","Žalgiris","2019-04-27, 15:00	 	Palanga
	1 : 4	
Žalgiris	Klaipėdos dirbtinės dangos st.","Žalgiris","Žalgiris"
131,"2019-04-27, 13:00","Panevėžys","1 : 1","Stumbras","2019-04-27, 13:00	 	Panevėžys
	1 : 1	
Stumbras	„Žemynos“ progimnazijos stadionas","Panevėžys","Panevėžys"
132,,,,,"7 turas",,
133,"2019-04-20, 15:00","Atlantas","0 : 0","Atlantas","2019-04-20, 15:00	 	Riteriai
	0 : 0	
Atlantas	LFF stadionas","Riteriai","Atlantas"
134,"2019-04-20, 13:00","Palanga","2 : 1","Stumbras","2019-04-20, 13:00	 	Palanga
	2 : 1	
Stumbras	Klaipėdos dirbtinės dangos st.","Palanga","Stumbras"
135,"2019-04-19, 19:00","Žalgiris","3 : 1","K. Žalgiris","2019-04-19, 19:00	 	Žalgiris
	3 : 1	
K. Žalgiris	LFF stadionas","Žalgiris","K. Žalgiris"
136,"2019-04-19, 17:30","Panevėžys","1 : 2","Sūduva","2019-04-19, 17:30	 	Panevėžys
	1 : 2	
Sūduva	„Žemynos“ progimnazijos stadionas","Panevėžys","Panevėžys"
137,,,,,"6 turas",,
138,"2019-04-14, 17:00","Sūduva","3 : 0","Palanga","2019-04-14, 17:00	 	Sūduva
	3 : 0	
Palanga	Marijampolės futbolo arenos stadionas","Sūduva","Palanga"
139,"2019-04-14, 15:00","Atlantas","2 : 1","Panevėžys","2019-04-14, 15:00	 	Atlantas
	2 : 1	
Panevėžys	Klaipėdos dirbtinės dangos st.","Atlantas","Panevėžys"
140,"2019-04-13, 17:30","Stumbras","1 : 0","Žalgiris","2019-04-13, 17:30	 	Stumbras
	1 : 0	
Žalgiris	LFF Kauno treniruočių centro st.","Žalgiris","Žalgiris"
141,"2019-04-13, 13:00","K. Žalgiris","3 : 1","K. Žalgiris","2019-04-13, 13:00	 	K. Žalgiris
	3 : 1	
Riteriai	LFF Kauno treniruočių centro st.","K. Žalgiris","Riteriai"
142,,,,,"5 turas",,
143,"2019-04-07, 19:00","Žalgiris","1 : 0","Sūduva","2019-04-07, 19:00	 	Žalgiris
	1 : 0	
Sūduva	LFF stadionas","Žalgiris","Sūduva"
144,"2019-04-07, 17:00","Panevėžys","1 : 2","Riteriai","2019-04-07, 17:00	 	Panevėžys
	1 : 2	
Riteriai	„Žemynos“ progimnazijos stadionas","Panevėžys","Panevėžys"
145,"2019-04-06, 17:00","Stumbras","0 : 1","K. Žalgiris","2019-04-06, 17:00	 	Stumbras
	0 : 1	
K. Žalgiris	LFF Kauno treniruočių centro st.","Stumbras","K. Žalgiris"
146,"2019-04-06, 13:00","Atlantas","2 : 1","Atlantas","2019-04-06, 13:00	 	Palanga
	2 : 1	
Atlantas	Klaipėdos dirbtinės dangos st.","Palanga","Atlantas"
147,,,,,"4 turas",,
148,"2019-04-02, 19:00","Riteriai","3 : 1","Palanga","2019-04-02, 19:00	 	Riteriai
	3 : 1	
Palanga	LFF stadionas","Riteriai","Palanga"
149,"2019-03-31, 17:00","Stumbras","2 : 0","Sūduva","2019-03-31, 17:00	 	Stumbras
	2 : 0	
Sūduva	LFF Kauno treniruočių centro st.","Stumbras","Sūduva"
150,"2019-03-30, 13:00","K. Žalgiris","2 : 0","K. Žalgiris","2019-03-30, 13:00	 	K. Žalgiris
	2 : 0	
Panevėžys	LFF Kauno treniruočių centro st.","K. Žalgiris","Panevėžys"
151,"2019-03-30, 13:00","Atlantas","0 : 3","Žalgiris","2019-03-30, 13:00	 	Atlantas
	0 : 3	
Žalgiris	Klaipėdos dirbtinės dangos st.","Žalgiris","Žalgiris"
152,,,,,"3 turas",,
153,"2019-03-17, 15:00","Palanga","1 : 1","Panevėžys","2019-03-17, 15:00	 	Palanga
	1 : 1	
Panevėžys	Klaipėdos dirbtinės dangos st.","Palanga","Panevėžys"
154,"2019-03-16, 17:00","Sūduva","1 : 0","K. Žalgiris","2019-03-16, 17:00	 	Sūduva
	1 : 0	
K. Žalgiris	Marijampolės futbolo arenos maniežas","Sūduva","K. Žalgiris"
155,"2019-03-16, 15:00","Atlantas","2 : 0","Atlantas","2019-03-16, 15:00	 	Stumbras
	2 : 0	
Atlantas	LFF Kauno treniruočių centro st.","Stumbras","Atlantas"
156,"2019-03-15, 19:30","Žalgiris","1 : 1","Riteriai","2019-03-15, 19:30	 	Žalgiris
	1 : 1	
Riteriai	„Sportima“","Žalgiris","Riteriai"
157,,,,,"2 turas",,
158,"2019-03-11, 19:30","Riteriai","0 : 0","Stumbras","2019-03-11, 19:30	 	Riteriai
	0 : 0	
Stumbras	„Sportima“","Riteriai","Stumbras"
159,"2019-03-10, 15:00","Atlantas","0 : 5","Sūduva","2019-03-10, 15:00	 	Atlantas
	0 : 5	
Sūduva	Klaipėdos dirbtinės dangos st.","Atlantas","Sūduva"
160,"2019-03-09, 15:00","Panevėžys","0 : 3","Žalgiris","2019-03-09, 15:00	 	Panevėžys
	0 : 3	
Žalgiris	„Žemynos“ progimnazijos stadionas","Žalgiris","Panevėžys"
161,"2019-03-09, 13:00","K. Žalgiris","6 : 1","K. Žalgiris","2019-03-09, 13:00	 	K. Žalgiris
	6 : 1	
Palanga	LFF Kauno treniruočių centro st.","K. Žalgiris","Palanga"
162,,,,,"1 turas",,
163,"2019-03-03, 19:30","Žalgiris","5 : 1","Palanga","2019-03-03, 19:30	 	Žalgiris
	5 : 1	
Palanga	„Sportima“","Žalgiris","Palanga"
164,"2019-03-03, 17:00","Sūduva","2 : 1","Riteriai","2019-03-03, 17:00	 	Sūduva
	2 : 1	
Riteriai	Marijampolės futbolo arenos maniežas","Sūduva","Riteriai"
165,"2019-03-02, 17:00","Stumbras","1 : 0","Panevėžys","2019-03-02, 17:00	 	Stumbras
	1 : 0	
Panevėžys	LFF Kauno treniruočių centro st.","Stumbras","Panevėžys"
166,"2019-03-02, 15:00","Atlantas","2 : 0","K. Žalgiris","2019-03-02, 15:00	 	Atlantas
	2 : 0	
K. Žalgiris	Klaipėdos dirbtinės dangos st.","Atlantas","K. Žalgiris"
