"Position","Date","Home","Result","Away","Sanity check","Home-missing","Away-missing"
116,,,,,"25 turas",,
117,"2022-07-09, 19:00","Sūduva","2 : 1","Šiauliai","2022-07-09, 19:00	 	Sūduva
	2 : 1	
Šiauliai	Marijampolės futbolo arenos stadionas","Sūduva","Šiauliai"
118,,,,,"20 turas",,
119,"2022-07-09, 17:00","Hegelmann","5 : 0","Banga","2022-07-09, 17:00	 	Hegelmann
	5 : 0	
Banga	LFF Kauno treniruočių centro st.","Banga","Banga"
120,,,,,"18 turas",,
121,"2022-07-03, 17:55","Šiauliai","3 : 2","Džiugas","2022-07-03, 17:55	 	Šiauliai
	3 : 2	
Džiugas	Šiaulių sav. stadionas","Šiauliai","Džiugas"
122,"2022-07-02, 20:00","Riteriai","1 : 1","K. Žalgiris","2022-07-02, 20:00	 	Riteriai
	1 : 1	
K. Žalgiris	LFF stadionas","Riteriai","K. Žalgiris"
123,"2022-07-02, 18:00","Banga","1 : 2","Panevėžys","2022-07-02, 18:00	 	Banga
	1 : 2	
Panevėžys	Gargždų m. stadionas","Banga","Panevėžys"
124,"2022-07-02, 16:00","Jonava","0 : 4","Sūduva","2022-07-02, 16:00	 	Jonava
	0 : 4	
Sūduva	Jonavos m. stadionas","Jonava","Sūduva"
125,"2022-07-01, 19:00","Žalgiris","2 : 1","Hegelmann","2022-07-01, 19:00	 	Žalgiris
	2 : 1	
Hegelmann	LFF stadionas","Žalgiris","Hegelmann"
126,,,,,"17 turas",,
127,"2022-06-26, 20:00","K. Žalgiris","1 : 1","K. Žalgiris","2022-06-26, 20:00	 	K. Žalgiris
	1 : 1	
Banga	„Kauno Žalgirio“ FA stadionas","Banga","Banga"
128,"2022-06-26, 17:55","Žalgiris","0 : 5","Žalgiris","2022-06-26, 17:55	 	Sūduva
	0 : 5	
Žalgiris	Marijampolės futbolo arenos stadionas","Sūduva","Žalgiris"
129,"2022-06-26, 15:00","Džiugas","2 : 0","Jonava","2022-06-26, 15:00	 	Džiugas
	2 : 0	
Jonava	Telšių m. centrinis stadionas","Džiugas","Jonava"
130,"2022-06-25, 19:00","Riteriai","0 : 3","Hegelmann","2022-06-25, 19:00	 	Riteriai
	0 : 3	
Hegelmann	LFF stadionas","Riteriai","Hegelmann"
131,"2022-06-25, 17:00","Panevėžys","1 : 2","Šiauliai","2022-06-25, 17:00	 	Panevėžys
	1 : 2	
Šiauliai	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
132,,,,,"16 turas",,
133,"2022-06-22, 20:00","Žalgiris","2 : 1","Džiugas","2022-06-22, 20:00	 	Žalgiris
	2 : 1	
Džiugas	LFF stadionas","Žalgiris","Džiugas"
134,"2022-06-22, 19:00","Šiauliai","0 : 1","K. Žalgiris","2022-06-22, 19:00	 	Šiauliai
	0 : 1	
K. Žalgiris	Šiaulių sav. stadionas","Šiauliai","K. Žalgiris"
135,"2022-06-22, 18:00","Jonava","0 : 5","Panevėžys","2022-06-22, 18:00	 	Jonava
	0 : 5	
Panevėžys	Jonavos m. stadionas","Jonava","Panevėžys"
136,"2022-06-21, 20:00","Banga","0 : 4","Riteriai","2022-06-21, 20:00	 	Banga
	0 : 4	
Riteriai	Gargždų m. stadionas","Banga","Riteriai"
137,"2022-06-21, 18:00","Hegelmann","2 : 2","Sūduva","2022-06-21, 18:00	 	Hegelmann
	2 : 2	
Sūduva	LFF Kauno treniruočių centro st.","Hegelmann","Sūduva"
138,,,,,"15 turas",,
139,"2022-06-19, 17:55","Žalgiris","0 : 2","Žalgiris","2022-06-19, 17:55	 	Panevėžys
	0 : 2	
Žalgiris	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
140,"2022-06-19, 15:00","K. Žalgiris","4 : 0","K. Žalgiris","2022-06-19, 15:00	 	K. Žalgiris
	4 : 0	
Jonava	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","Jonava"
141,"2022-06-18, 19:00","Riteriai","1 : 1","Šiauliai","2022-06-18, 19:00	 	Riteriai
	1 : 1	
Šiauliai	LFF stadionas","Riteriai","Šiauliai"
142,"2022-06-18, 17:00","Džiugas","2 : 2","Sūduva","2022-06-18, 17:00	 	Džiugas
	2 : 2	
Sūduva	Telšių m. centrinis stadionas","Džiugas","Sūduva"
143,"2022-06-17, 18:00","Banga","1 : 0","Hegelmann","2022-06-17, 18:00	 	Banga
	1 : 0	
Hegelmann	Gargždų m. stadionas","Banga","Hegelmann"
144,,,,,"14 turas",,
145,"2022-05-29, 17:30","Jonava","0 : 1","Riteriai","2022-05-29, 17:30	 	Jonava
	0 : 1	
Riteriai	Jonavos m. stadionas","Jonava","Riteriai"
146,"2022-05-22, 17:30","Žalgiris","1 : 2","K. Žalgiris","2022-05-22, 17:30	 	Žalgiris
	1 : 2	
K. Žalgiris	LFF stadionas","Žalgiris","K. Žalgiris"
147,"2022-05-22, 15:00","Šiauliai","1 : 1","Banga","2022-05-22, 15:00	 	Šiauliai
	1 : 1	
Banga	Šiaulių sav. stadionas","Banga","Banga"
148,"2022-05-21, 19:00","Sūduva","2 : 1","Panevėžys","2022-05-21, 19:00	 	Sūduva
	2 : 1	
Panevėžys	Marijampolės futbolo arenos stadionas","Sūduva","Panevėžys"
149,"2022-05-21, 15:00","Hegelmann","2 : 0","Džiugas","2022-05-21, 15:00	 	Hegelmann
	2 : 0	
Džiugas	LFF Kauno treniruočių centro st.","Hegelmann","Džiugas"
150,,,,,"13 turas",,
151,"2022-05-15, 17:30","Šiauliai","0 : 0","Hegelmann","2022-05-15, 17:30	 	Šiauliai
	0 : 0	
Hegelmann	Šiaulių sav. stadionas","Šiauliai","Hegelmann"
152,"2022-05-15, 15:00","Panevėžys","1 : 0","Džiugas","2022-05-15, 15:00	 	Panevėžys
	1 : 0	
Džiugas	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
153,"2022-05-14, 17:00","Banga","1 : 1","Jonava","2022-05-14, 17:00	 	Banga
	1 : 1	
Jonava	Gargždų m. stadionas","Banga","Jonava"
154,"2022-05-14, 15:00","Žalgiris","0 : 1","Žalgiris","2022-05-14, 15:00	 	Riteriai
	0 : 1	
Žalgiris	LFF stadionas","Riteriai","Žalgiris"
155,"2022-05-14, 13:00","K. Žalgiris","0 : 3","K. Žalgiris","2022-05-14, 13:00	 	K. Žalgiris
	0 : 3	
Sūduva	Prezidento V. Adamkaus VDU sporto centras","K. Žalgiris","Sūduva"
156,,,,,"12 turas",,
157,"2022-05-04, 20:00","Žalgiris","2 : 1","Banga","2022-05-04, 20:00	 	Žalgiris
	2 : 1	
Banga	LFF stadionas","Banga","Banga"
158,"2022-05-04, 19:00","Sūduva","1 : 1","Riteriai","2022-05-04, 19:00	 	Sūduva
	1 : 1	
Riteriai	Marijampolės futbolo arenos stadionas","Sūduva","Riteriai"
159,"2022-05-04, 18:00","Džiugas","1 : 2","K. Žalgiris","2022-05-04, 18:00	 	Džiugas
	1 : 2	
K. Žalgiris	„Ateities“ progimnazijos stadionas","Džiugas","K. Žalgiris"
160,"2022-05-03, 18:00","Jonava","0 : 3","Šiauliai","2022-05-03, 18:00	 	Jonava
	0 : 3	
Šiauliai	Jonavos dirbtinės dangos st.","Jonava","Šiauliai"
161,"2022-05-03, 18:00","Panevėžys","1 : 1","Hegelmann","2022-05-03, 18:00	 	Panevėžys
	1 : 1	
Hegelmann	„Žemynos“ progimnazijos stadionas","Panevėžys","Panevėžys"
162,,,,,"11 turas",,
163,"2022-05-01, 17:30","Riteriai","3 : 0","Džiugas","2022-05-01, 17:30	 	Riteriai
	3 : 0	
Džiugas	LFF stadionas","Riteriai","Džiugas"
164,"2022-05-01, 15:00","Banga","0 : 1","Sūduva","2022-05-01, 15:00	 	Banga
	0 : 1	
Sūduva	Gargždų m. stadionas","Banga","Sūduva"
165,"2022-04-30, 19:00","Žalgiris","0 : 1","Žalgiris","2022-04-30, 19:00	 	Šiauliai
	0 : 1	
Žalgiris	Šiaulių sav. stadionas","Šiauliai","Žalgiris"
166,"2022-04-30, 17:00","K. Žalgiris","2 : 1","K. Žalgiris","2022-04-30, 17:00	 	K. Žalgiris
	2 : 1	
Panevėžys	Prezidento V. Adamkaus VDU sporto centras","K. Žalgiris","Panevėžys"
167,"2022-04-30, 13:00","Hegelmann","4 : 0","Jonava","2022-04-30, 13:00	 	Hegelmann
	4 : 0	
Jonava	LFF Kauno treniruočių centro st.","Hegelmann","Jonava"
168,,,,,"10 turas",,
169,"2022-04-27, 20:00","Sūduva","2 : 0","Šiauliai","2022-04-27, 20:00	 	Sūduva
	2 : 0	
Šiauliai	Marijampolės futbolo arenos maniežas","Sūduva","Šiauliai"
170,"2022-04-27, 18:00","Panevėžys","3 : 0","Riteriai","2022-04-27, 18:00	 	Panevėžys
	3 : 0	
Riteriai	„Žemynos“ progimnazijos stadionas","Panevėžys","Panevėžys"
171,"2022-04-27, 18:00","Žalgiris","0 : 5","Žalgiris","2022-04-27, 18:00	 	Jonava
	0 : 5	
Žalgiris	Jonavos dirbtinės dangos st.","Jonava","Žalgiris"
172,"2022-04-26, 20:00","K. Žalgiris","1 : 3","K. Žalgiris","2022-04-26, 20:00	 	K. Žalgiris
	1 : 3	
Hegelmann	Prezidento V. Adamkaus VDU sporto centras","K. Žalgiris","Hegelmann"
173,"2022-04-26, 18:00","Džiugas","0 : 0","Banga","2022-04-26, 18:00	 	Džiugas
	0 : 0	
Banga	„Ateities“ progimnazijos stadionas","Banga","Banga"
174,,,,,"9 turas",,
175,"2022-04-24, 17:30","Sūduva","2 : 0","Jonava","2022-04-24, 17:30	 	Sūduva
	2 : 0	
Jonava	Marijampolės futbolo arenos maniežas","Sūduva","Jonava"
176,"2022-04-23, 17:00","Žalgiris","2 : 2","Žalgiris","2022-04-23, 17:00	 	Hegelmann
	2 : 2	
Žalgiris	LFF Kauno treniruočių centro st.","Hegelmann","Žalgiris"
177,"2022-04-23, 15:00","Džiugas","0 : 0","Šiauliai","2022-04-23, 15:00	 	Džiugas
	0 : 0	
Šiauliai	„Ateities“ progimnazijos stadionas","Džiugas","Šiauliai"
178,"2022-04-23, 13:00","Panevėžys","2 : 0","Banga","2022-04-23, 13:00	 	Panevėžys
	2 : 0	
Banga	„Žemynos“ progimnazijos stadionas","Banga","Panevėžys"
179,"2022-04-22, 18:00","K. Žalgiris","0 : 1","K. Žalgiris","2022-04-22, 18:00	 	K. Žalgiris
	0 : 1	
Riteriai	Prezidento V. Adamkaus VDU sporto centras","K. Žalgiris","Riteriai"
180,,,,,"8 turas",,
181,"2022-04-17, 17:30","Žalgiris","0 : 0","Sūduva","2022-04-17, 17:30	 	Žalgiris
	0 : 0	
Sūduva	LFF stadionas","Žalgiris","Sūduva"
182,"2022-04-16, 17:00","Jonava","0 : 1","Džiugas","2022-04-16, 17:00	 	Jonava
	0 : 1	
Džiugas	Jonavos dirbtinės dangos st.","Jonava","Džiugas"
183,"2022-04-16, 15:00","Šiauliai","0 : 3","Panevėžys","2022-04-16, 15:00	 	Šiauliai
	0 : 3	
Panevėžys	Šiaulių „Gytarių“ stadionas","Šiauliai","Panevėžys"
184,"2022-04-16, 13:00","Hegelmann","1 : 1","Riteriai","2022-04-16, 13:00	 	Hegelmann
	1 : 1	
Riteriai	LFF Kauno treniruočių centro st.","Hegelmann","Riteriai"
185,"2022-04-15, 18:00","Banga","3 : 1","K. Žalgiris","2022-04-15, 18:00	 	Banga
	3 : 1	
K. Žalgiris	Gargždų m. stadionas","Banga","K. Žalgiris"
186,,,,,"7 turas",,
187,"2022-04-13, 14:30","Žalgiris","3 : 5","Žalgiris","2022-04-13, 14:30	 	Džiugas
	3 : 5	
Žalgiris	„Ateities“ progimnazijos stadionas","Džiugas","Žalgiris"
188,"2022-04-10, 17:30","Sūduva","0 : 1","Hegelmann","2022-04-10, 17:30	 	Sūduva
	0 : 1	
Hegelmann	Marijampolės futbolo arenos maniežas","Sūduva","Hegelmann"
189,"2022-04-10, 15:00","Riteriai","1 : 0","Banga","2022-04-10, 15:00	 	Riteriai
	1 : 0	
Banga	LFF stadionas","Banga","Banga"
190,"2022-04-10, 13:00","K. Žalgiris","0 : 0","K. Žalgiris","2022-04-10, 13:00	 	K. Žalgiris
	0 : 0	
Šiauliai	Prezidento V. Adamkaus VDU sporto centras","K. Žalgiris","Šiauliai"
191,"2022-04-09, 13:00","Panevėžys","4 : 0","Jonava","2022-04-09, 13:00	 	Panevėžys
	4 : 0	
Jonava	„Žemynos“ progimnazijos stadionas","Panevėžys","Panevėžys"
192,,,,,"6 turas",,
193,"2022-04-06, 20:00","Šiauliai","1 : 0","Riteriai","2022-04-06, 20:00	 	Šiauliai
	1 : 0	
Riteriai	Šiaulių „Gytarių“ stadionas","Šiauliai","Riteriai"
194,"2022-04-06, 18:00","Hegelmann","2 : 0","Banga","2022-04-06, 18:00	 	Hegelmann
	2 : 0	
Banga	LFF Kauno treniruočių centro st.","Banga","Banga"
195,"2022-04-05, 20:00","Sūduva","1 : 1","Džiugas","2022-04-05, 20:00	 	Sūduva
	1 : 1	
Džiugas	Marijampolės futbolo arenos maniežas","Sūduva","Džiugas"
196,"2022-04-05, 19:00","Žalgiris","0 : 0","Panevėžys","2022-04-05, 19:00	 	Žalgiris
	0 : 0	
Panevėžys	LFF stadionas","Žalgiris","Panevėžys"
197,"2022-04-05, 18:00","Jonava","0 : 2","K. Žalgiris","2022-04-05, 18:00	 	Jonava
	0 : 2	
K. Žalgiris	Jonavos dirbtinės dangos st.","Jonava","K. Žalgiris"
198,,,,,"5 turas",,
199,"2022-04-03, 17:30","Banga","0 : 0","Šiauliai","2022-04-03, 17:30	 	Banga
	0 : 0	
Šiauliai	Gargždų m. stadionas","Banga","Šiauliai"
200,"2022-04-02, 17:00","Žalgiris","2 : 2","K. Žalgiris","2022-04-02, 17:00	 	K. Žalgiris
	2 : 2	
Žalgiris	Prezidento V. Adamkaus VDU sporto centras","K. Žalgiris","Žalgiris"
